<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	2625.44	2660.42	2621.69	2657.28	131869	0	30
2025.01.03	2657.46	2665.14	2636.69	2639.19	120038	0	23
2025.01.06	2639.19	2649.41	2614.28	2635.88	133664	0	30
2025.01.07	2635.21	2664.33	2632.90	2648.62	125463	0	30
2025.01.08	2648.00	2669.97	2645.27	2661.42	122898	0	30
2025.01.09	2661.41	2678.29	2655.48	2670.11	93677	0	30
2025.01.10	2670.29	2697.98	2663.83	2688.97	132983	0	21
2025.01.13	2689.64	2693.32	2656.59	2663.46	147945	0	30
2025.01.14	2662.59	2678.22	2659.65	2676.89	140828	0	30
2025.01.15	2677.50	2697.61	2669.40	2696.87	132915	0	30
2025.01.16	2695.80	2724.76	2690.03	2714.38	137962	0	30
2025.01.17	2713.88	2717.37	2699.25	2702.48	128803	0	21
2025.01.20	2702.08	2713.80	2689.25	2707.46	103257	0	30
2025.01.21	2706.01	2746.00	2702.72	2744.23	149035	0	30
2025.01.22	2744.08	2763.44	2741.99	2756.02	136851	0	30
2025.01.23	2755.75	2759.02	2735.77	2754.15	137308	0	30
2025.01.24	2753.74	2786.00	2753.52	2771.65	140364	0	24
2025.01.27	2770.11	2772.56	2730.27	2740.14	156031	0	30
2025.01.28	2739.18	2765.08	2734.44	2763.20	132865	0	30
2025.01.29	2762.36	2766.22	2744.75	2758.75	135170	0	30
2025.01.30	2759.41	2798.48	2758.08	2793.38	138822	0	30
2025.01.31	2794.16	2817.10	2791.06	2800.71	153239	0	21
2025.02.03	2800.77	2830.40	2772.20	2814.48	171598	0	30
2025.02.04	2813.89	2845.48	2807.23	2841.91	159916	0	30
2025.02.05	2842.22	2882.56	2839.60	2867.11	151053	0	30
2025.02.06	2866.15	2873.26	2834.01	2856.12	155223	0	30
2025.02.07	2855.07	2886.64	2852.24	2861.86	140416	0	24
2025.02.10	2857.98	2911.55	2856.48	2907.95	157987	0	30
2025.02.11	2907.19	2942.60	2881.66	2897.53	190799	0	30
2025.02.12	2896.46	2909.01	2863.63	2903.92	156543	0	30
2025.02.13	2903.96	2929.50	2900.32	2928.45	139741	0	30
2025.02.14	2926.53	2940.05	2876.82	2882.82	168799	0	25
2025.02.17	2883.32	2906.22	2877.88	2899.10	117052	0	30
2025.02.18	2900.00	2937.00	2891.75	2935.09	115911	0	30
2025.02.19	2933.83	2947.08	2918.64	2933.00	146198	0	26
2025.02.20	2932.35	2954.94	2924.16	2939.43	142228	0	30
2025.02.21	2938.61	2949.69	2916.67	2936.16	139940	0	22
2025.02.24	2934.81	2956.49	2921.33	2952.00	137526	0	30
2025.02.25	2951.83	2953.94	2888.09	2914.37	155544	0	30
2025.02.26	2914.26	2929.91	2890.49	2915.81	127276	0	26
2025.02.27	2915.50	2920.81	2867.66	2876.78	155424	0	30
2025.02.28	2877.62	2884.86	2832.51	2858.97	161435	0	21
2025.03.03	2856.39	2895.31	2855.37	2892.69	151104	0	30
2025.03.04	2891.09	2927.84	2881.99	2917.44	136343	0	30
2025.03.05	2917.15	2929.99	2894.16	2918.75	152055	0	30
2025.03.06	2917.90	2926.53	2891.12	2910.67	138277	0	30
2025.03.07	2911.50	2930.37	2895.28	2912.18	158554	0	0
2025.03.10	2911.00	2918.31	2880.02	2889.11	154579	0	30
2025.03.11	2888.26	2922.11	2880.20	2915.54	119413	0	30
2025.03.12	2913.97	2940.54	2906.14	2933.06	139375	0	30
2025.03.13	2932.82	2989.33	2932.82	2988.71	134978	0	30
2025.03.14	2988.73	3004.82	2978.46	2984.45	147347	0	30
2025.03.17	2984.19	3002.01	2982.10	3000.66	109781	0	30
2025.03.18	3000.30	3038.25	2999.51	3033.80	130469	0	30
2025.03.19	3033.47	3052.00	3022.82	3047.06	124005	0	30
2025.03.20	3046.97	3057.43	3025.43	3044.46	143903	0	30
2025.03.21	3044.21	3047.42	2999.36	3023.45	130515	0	30
2025.03.24	3020.76	3033.28	3002.49	3012.06	146228	0	30
2025.03.25	3010.72	3035.92	3007.44	3019.60	121429	0	30
2025.03.26	3019.10	3032.07	3012.23	3018.79	126312	0	30
2025.03.27	3018.04	3059.62	3017.44	3056.35	141294	0	30
2025.03.28	3055.89	3086.80	3054.20	3085.06	145158	0	26
2025.03.31	3085.53	3128.25	3076.83	3123.68	149876	0	30
2025.04.01	3122.75	3149.00	3100.62	3114.06	149789	0	30
2025.04.02	3113.38	3137.42	3104.75	3132.55	139819	0	30
2025.04.03	3139.45	3167.59	3053.98	3113.95	178096	0	30
2025.04.04	3114.36	3136.45	3015.71	3036.87	176875	0	21
2025.04.07	3016.04	3055.10	2956.07	2981.56	205299	0	26
2025.04.08	2981.80	3022.56	2974.58	2981.89	141057	0	30
2025.04.09	2983.22	3099.65	2970.00	3083.05	155522	0	30
2025.04.10	3083.57	3176.49	3071.48	3175.22	146690	0	30
2025.04.11	3175.67	3245.36	3175.63	3238.25	156625	0	28
2025.04.14	3229.89	3245.68	3193.67	3210.23	135624	0	30
2025.04.15	3211.25	3233.66	3210.11	3229.09	112072	0	30
2025.04.16	3230.98	3342.93	3229.99	3342.70	141410	0	30
2025.04.17	3343.21	3357.75	3283.67	3326.53	138760	0	30
2025.04.21	3332.98	3430.53	3328.92	3423.62	144655	0	30
2025.04.22	3424.06	3500.02	3366.65	3381.16	157589	0	30
2025.04.23	3323.30	3386.43	3259.98	3288.01	152795	0	30
2025.04.24	3288.38	3367.26	3288.26	3348.48	134949	0	30
2025.04.25	3350.22	3370.31	3265.03	3316.01	137552	0	28
2025.04.28	3324.74	3352.84	3268.16	3343.68	134237	0	30
2025.04.29	3344.44	3348.42	3299.73	3316.92	128792	0	30
2025.04.30	3314.31	3327.85	3266.98	3287.84	133204	0	30
2025.05.01	3287.50	3290.01	3201.81	3237.38	133780	0	30
2025.05.02	3238.77	3269.11	3222.65	3240.54	133244	0	28
2025.05.05	3238.45	3337.55	3237.37	3333.41	131568	0	30
2025.05.06	3336.30	3434.99	3323.52	3430.33	141938	0	30
2025.05.07	3439.00	3439.00	3360.20	3364.12	146805	0	30
2025.05.08	3365.95	3414.80	3288.62	3305.68	140481	0	30
2025.05.09	3304.52	3347.35	3274.55	3325.11	132472	0	28
2025.05.12	3273.03	3311.18	3207.58	3234.54	157505	0	30
2025.05.13	3236.01	3265.43	3215.80	3249.93	128267	0	30
2025.05.14	3249.31	3256.90	3167.91	3177.14	137559	0	30
2025.05.15	3177.54	3240.58	3120.47	3239.65	135657	0	30
2025.05.16	3239.41	3252.16	3154.18	3200.69	132693	0	28
2025.05.19	3219.19	3249.56	3206.52	3229.91	126916	0	30
2025.05.20	3229.50	3295.70	3204.41	3289.61	128624	0	30
2025.05.21	3289.84	3324.67	3285.39	3315.09	137578	0	30
2025.05.22	3319.27	3345.23	3279.16	3294.45	137840	0	30
2025.05.23	3294.58	3365.68	3286.93	3359.79	161686	0	28
2025.05.26	3355.89	3356.60	3323.36	3342.03	110963	0	31
